Unnamed: 0,is_vulnerable,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv
3542,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3543,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3544,0,Tuleap,153.0,138.0,0.0,0.0,6.0,19.0,1.888888888888888,187.67775631676807
3545,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3546,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3547,0,Tuleap,1316.5,1139.5,1.0,0.0,18.0,233.0,3.437179487179487,338.3764165362273
3548,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3549,0,Tuleap,51.0,51.0,0.0,0.0,3.0,1.0,1.0,199.03672606651
3550,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3551,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3552,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3553,0,Tuleap,1246.5,1095.5,1.0,0.0,121.5,149.5,2.541428571428571,219.18324893153695
3554,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3555,0,Tuleap,290.57142857142856,248.57142857142856,1.714285714285714,0.0,32.57142857142857,34.285714285714285,1.5475321650399292,154.06493321280945
3556,0,Tuleap,714.0,651.0,2.0,0.0,1.0,128.0,3.714285714285714,451.8591398461102
3557,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3558,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3559,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3560,0,Tuleap,180.7391304347826,174.30434782608697,1.043478260869565,0.08695652173913,27.695652173913043,15.869565217391305,1.501930941901923,196.65926162876625
3561,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3562,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3563,0,Tuleap,816.0,749.3333333333334,1.333333333333333,0.0,95.33333333333331,100.33333333333331,1.504014884449667,126.68703959906192
3564,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3565,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3566,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3567,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3568,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3569,0,Tuleap,303.8333333333333,280.8333333333333,2.0,0.0,4.0,19.33333333333333,0.5,96.6826499003115
3570,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3571,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3572,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3573,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3574,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3575,0,Tuleap,169.14285714285714,155.57142857142858,0.8571428571428571,0.5714285714285711,5.714285714285714,22.428571428571427,2.653463203463203,312.52860042932895
3576,0,Tuleap,38.0,34.0,2.0,0.0,1.0,3.0,1.0,486.8192635674391
3577,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3578,0,Tuleap,153.0,113.8,2.0,0.0,4.8,19.8,1.083370288248337,147.3918253789568
3579,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3580,0,Tuleap,176.0,173.0,2.0,0.0,3.0,20.0,1.384615384615384,136.06216299070613
3581,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3582,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3583,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3584,0,Tuleap,,,,,,,,
3585,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3586,0,Tuleap,373.0,278.0,2.0,0.0,7.0,50.0,2.9375,369.4981897367877
3587,0,Tuleap,,,,,,,,
3588,0,Tuleap,1107.3333333333333,956.0,2.666666666666666,0.6666666666666661,7.0,164.33333333333334,3.712918660287081,685.7254470267338
3589,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3590,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3591,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3592,0,Tuleap,,,,,,,,
3593,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
