Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv,author_info.public_repos,author_info.followers,author_info.following,author_info.public_gists,time_difference
3256,0,370,39,0.0053994185,0,22,0.0131030375,0.9166666667,1.0,0.9166666667,0,4.0,20.0,76.0,19.0,14.5,6.0,3.0,3.0,8.0,2.0,1.0,292.0,73.0,32.5,1306.0,326.5,384.0,0.0,Shopware,325.0,254.0,2.0,0.0,24.5,32.0,2.025,183.71325660402368,25.0,10.0,9.0,1.0,1877.0
3257,0,55,64,0.0569902048,0,15,0.0857142857,1.0,1.0,1.0,0,3.0,5.0,40.0,13.3333333333,9.0,5.0,2.5,2.5,8.0,2.6666666667000003,3.0,30.0,10.0,10.0,654.0,218.0,281.0,1.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,22.0,1.0,2.0,1408.0
3258,0,875,352,0.0221690389,0,5,0.0092592593,0.9411764706,1.0,0.7647058824,0,17.0,32.0,182.0,13.0,7.5,156.0,11.1428571429,3.0,52.0,3.0588235294,1.0,384.0,25.6,16.0,7791.0,519.4,518.0,2.0,Shopware,246.58823529411765,219.41176470588235,1.411764705882353,0.117647058823529,13.588235294117649,30.94117647058824,2.437941470294411,287.7057659892962,25.0,77.0,24.0,1.0,2382.0
3259,0,501,99,0.0098674375,0,8,0.0198019802,0.9189189189,1.0,0.8918918919000001,1,15.0,18.0,145.0,9.6666666667,8.0,15.0,1.6666666667,1.0,20.0,1.3333333333,1.0,149.0,9.9333333333,7.0,2896.0,193.0666666667,179.0,3.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,5.0,0.0,0.0,1138.0
3262,0,2079,68,0.0021127855,0,3,0.0052631579,1.0,1.0,1.0,1,2.0,15.0,30.0,15.0,15.0,16.0,16.0,16.0,4.0,2.0,2.0,29.0,14.5,14.5,2696.0,1348.0,1348.0,1.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,3.0,4.0,0.0,1626.0
3265,0,609,4,0.0003364455,0,3,0.0065789474,0.0,0.0,0.0,1,2.0,11.0,2.0,2.0,2.0,3.0,1.5,1.5,4.0,2.0,2.0,59.0,29.5,29.5,1229.0,614.5,614.5,0.0,Shopware,190.5,163.5,1.0,0.0,14.5,27.0,2.214285714285714,158.16831758818316,35.0,8.0,19.0,5.0,1908.0
3266,0,1678,903,0.0333136575,0,81,0.1673553719,0.0,0.0,0.0,0,2.0,56.0,7.0,7.0,7.0,74.0,37.0,37.0,6.0,3.0,3.0,460.0,230.0,230.0,1686.0,843.0,843.0,14.0,Shopware,114.0,100.5,1.142857142857142,0.285714285714285,3.785714285714285,18.857142857142858,2.723783359497645,266.7528009639511,32.0,26.0,1.0,4.0,2573.0
3267,0,383,37,0.0047921254,0,29,0.0169293637,1.0,1.0,1.0,0,2.0,8.0,106.0,53.0,53.0,21.0,10.5,10.5,8.0,4.0,4.0,29.0,14.5,14.5,87.0,43.5,43.5,1.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,319.0
3268,0,-52,18,0.0296540362,0,17,0.1559633028,1.0,1.0,1.0,0,11.0,6.0,214.0,19.4545454545,14.0,3.0,1.5,1.5,13.0,1.1818181818,1.0,73.0,10.4285714286,10.0,640.0,106.6666666667,113.5,2.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,22.0,1.0,2.0,1302.0
3274,0,677,423,0.0328339672,0,12,0.0233463035,0.0,1.0,0.8181818182,1,8.0,50.0,60.0,7.5,3.5,7.0,3.5,3.5,13.0,1.625,1.0,609.0,87.0,36.0,3051.0,435.8571428571,330.0,2.0,Shopware,162.28571428571428,149.0,0.8571428571428571,0.0,11.571428571428571,11.714285714285714,1.95,420.7426504048044,32.0,26.0,1.0,4.0,1573.0
3277,0,1433,96,0.0039617035,0,1,0.0020080321,0.5,0.5,1.0,1,2.0,12.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,37.0,18.5,18.5,620.0,310.0,310.0,0.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,31.0,5.0,1.0,2013.0
3278,0,1023,416,0.02302668,0,23,0.0484210526,0.2389380531,0.0,0.0,0,3.0,22.0,28.0,9.3333333333,3.0,8.0,4.0,4.0,3.0,1.0,1.0,133.0,44.3333333333,41.0,2911.0,970.3333333333,1043.0,1.0,Shopware,171.5952380952381,162.1904761904762,1.8571428571428568,0.0,10.214285714285714,11.261904761904765,1.319794226937084,292.7930686288938,25.0,77.0,24.0,1.0,2530.0
3279,0,190,4,0.0018009905,0,2,0.012195122,1.0,1.0,1.0,0,1.0,5.0,48.0,48.0,48.0,12.0,12.0,12.0,8.0,8.0,8.0,6.0,6.0,6.0,53.0,53.0,53.0,0.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,6.0,1.0,0.0,50.0
