Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname
3486,1,3417,1420,0.0205946338,0,19,0.0252324037,0.8823529412000001,0.1176470588,1.0,0,6.0,12.0,121.0,20.1666666667,6.5,175.0,43.75,16.5,8.0,1.3333333333,1.0,109.0,18.1666666667,18.0,9989.0,1664.8333333333,2085.0,10.0,Tuleap
3487,1,1331,111,0.0042321183,0,15,0.0681818182,0.0163934426,1.0,0.0,0,33.0,8.0,823.0,29.3928571429,7.0,664.0,31.619047619,7.0,66.0,2.0625,1.0,240.0,10.9090909091,5.5,5610.0,255.0,231.0,2.0,Tuleap
3488,1,2203,3222,0.0800516783,0,130,0.1790633609,0.6875,1.0,0.8125,0,4.0,12.0,45.0,11.25,10.5,14.0,3.5,4.0,8.0,2.0,1.5,58.0,14.5,14.5,5585.0,1396.25,1525.0,0.0,Tuleap
3489,1,2066,958,0.0254739809,0,67,0.1112956811,0.2975778547,0.0761245675,0.2629757785,0,30.0,13.0,177.0,8.85,3.5,582.0,23.28,5.0,45.0,1.5517241379,1.0,249.0,9.5769230769,5.5,17820.0,685.3846153846,647.0,1.0,Tuleap
3490,1,1518,234,0.0082082223,0,33,0.102484472,0.2619047619,1.0,0.0238095238,0,15.0,11.0,321.0,26.75,9.5,234.0,33.4285714286,16.0,19.0,1.2666666667,1.0,155.0,11.0714285714,2.5,4565.0,326.0714285714,426.0,3.0,Tuleap
3491,1,3183,8834,0.1399911258,0,177,0.2140266022,,,,0,8.0,14.0,37.0,6.1666666667,2.0,85.0,10.625,2.5,12.0,1.5,1.5,189.0,23.625,25.0,19148.0,2393.5,2597.5,0.0,Tuleap
3492,0,4059,12800,0.1590239903,0,64,0.1233140655,0.9444444444,0.0,0.0,1,3.0,19.0,37.0,12.3333333333,8.0,25.0,8.3333333333,1.0,11.0,3.6666666667,3.0,304.0,101.3333333333,23.0,9752.0,3250.6666666667,2689.0,0.0,Tuleap
3493,1,1370,15,0.000562894,0,7,0.0192307692,1.0,1.0,0.9743589744,0,11.0,28.0,341.0,31.0,8.0,95.0,19.0,2.0,44.0,4.0,1.0,1050.0,131.25,131.0,12954.0,1619.25,1685.0,4.0,Tuleap
3494,1,3452,10348,0.1488171424,0,52,0.0981132075,0.0,0.0,1.0,0,115.0,51.0,1176.0,10.407079646,4.0,1264.0,11.185840708,4.0,424.0,3.6869565217,2.0,4794.0,42.0526315789,18.0,302185.0,2650.7456140351,2631.5,34.0,Tuleap
3495,1,3956,8107,0.1029290403,0,12,0.0165517241,0.0,1.0,1.0,1,3.0,19.0,44.0,14.6666666667,10.0,23.0,7.6666666667,8.0,11.0,3.6666666667,3.0,298.0,99.3333333333,22.0,9444.0,3148.0,2586.0,0.0,Tuleap
3496,1,1379,3461,0.1289829687,0,109,0.2294736842,1.0,1.0,1.0,1,2.0,18.0,37.0,18.5,18.5,26.0,13.0,13.0,3.0,1.5,1.5,171.0,85.5,85.5,3390.0,1695.0,1695.0,0.0,Tuleap
